Musical,Movie,IMDb,RottenTomatoes,TonyNominatedMusical
Irene (1919),Irene (1940),6.3,,False
Irma La Douce (1956),Irma la Douce (1963),7.3,75%,True
Jersey Boys (2004),Jersey Boys (2014),6.8,51%,True
Jumbo (1935),Billy Rose's Jumbo (1962),6.1,,False
Joseph and the Amazing Technicolor Dreamcoat (1968),Joseph and the Amazing Technicolor Dreamcoat (1999),7.2,86%,True
Katips (2016),Katips (2021),5.9,,False
Katyar Kaljat Ghusali (1967),Katyar Kaljat Ghusali (2015),8.8,,False
Kid Boots (1923),Kid Boots (1926),7.0,,False
The King and I (1951),The King and I (1956),7.4,93%,True
The King and I (1951),The King and I (1999),4.4,13%,True
Kismet (1953),Kismet (1955),6.3,57%,True
"Kiss Me, Kate (1948)",Kiss Me Kate (1953),7.0,93%,True
"Kiss Me, Kate (1948)",Kiss Me Kate (1968),8.7,,True
"Lady, Be Good (1924)",Lady Be Good (1928),4.6,,False
"Lady, Be Good (1924)",Lady Be Good (1941),6.4,,False
Lady in the Dark (1941),Lady in the Dark (1944),5.9,,False
The Last Five Years (2001),The Last Five Years (2014),5.9,59%,False
Let's Face It! (1941),Let's Face It (1943),6.0,,False
Li'l Abner (1956),Li'l Abner (1959),6.7,,False
Little Johnny Jones (1904),Little Johnny Jones (1923),,,False
Little Johnny Jones (1904),Little Johnny Jones (1929),7.2,,False
Little Nellie Kelly (1922),Little Nellie Kelly (1940),6.4,,False
A Little Night Music (1973),A Little Night Music (1977),5.4,17%,True
Little Shop of Horrors (1982),Little Shop of Horrors (1986),7.1,91%,False
La llamada (2013),La llamada (2017),,,False
London Road (2013),London Road (2015),5.3,76%,False
Lost in the Stars (1949),Lost in the Stars (1974),6.3,,False
Louisiana Purchase (1940),Louisiana Purchase (1941),6.1,,False
Lucky Stiff (1988),Lucky Stiff (2014),5.5,40%,False
"Mama, I Want to Sing! (1983)","Mama, I Want to Sing! (2012)",,,False
Mame (1966),Mame (1974),5.9,36%,True
Mamma Mia! (1999),Mamma Mia! (2008),6.5,55%,True
Man of La Mancha (1965),Man of La Mancha (1972),6.5,53%,True
Matilda the Musical (2010),Matilda the Musical (2022),7.0,,True
Me and My Girl (1937),The Lambeth Walk (1939),,,True
Mean Girls (2017),Mean Girls (2024),5.5,68%,True
Mexican Hayride (1943),Mexican Hayride (1948),6.2,,False
Les Misérables (1980),Les Misérables (2012),7.5,70%,True
The Music Man (1957),The Music Man (1962),7.7,94%,False
The Music Man (1957),The Music Man (2003),6.1,40%,False
My Fair Lady (1956),My Fair Lady (1964),7.7,94%,True
Nine (1982),Nine (2009),5.8,39%,True
"No, No, Nanette (1925)","No, No, Nanette (1930)",6.1,,False
"No, No, Nanette (1925)","No, No, Nanette (1940)",5.2,,False
"No, No, Nanette (1925)",Tea for Two (1950),6.5,,False
"Oh, Kay! (1926)","Oh, Kay! (1928)",7.2,,False
"Oh, Lady! Lady!! (1918)","Oh, Lady, Lady (1920)",,,False
"Oh, What a Lovely War! (1963)",Oh! What a Lovely War (1969),7.0,75%,True
Oklahoma! (1943),Oklahoma (1955),7.0,87%,False
Oliver! (1960),Oliver! (1968),7.4,90%,False
On a Clear Day You Can See Forever (1960),On a Clear Day You Can See Forever (1965),,,False
On the Town (1944),On the Town (1949),7.3,94%,False
On Your Toes (1936),On Your Toes (1939),5.6,,False
Once Upon a Mattress (1958),Once Upon a Mattress (2005),6.2,,True
One Touch of Venus (1943),One Touch of Venus (1948),6.6,,False
Ópera do Malandro (1979),Ópera do Malandro (1985),,,False
Paint Your Wagon (1951),Paint Your Wagon (1969),6.6,45%,False
The Pajama Game (1951),The Pajama Game (1957),6.6,87%,True
Pal Joey (1940),Pal Joey (1957),6.6,75%,False
Paris (1928),Paris (1929),3.3,92%,False
The Phantom of the Opera (1986),The Phantom of the Opera (2004),7.2,32%,True
Present Arms (1928),Leathernecking (1930),6.6,,False
The Producers (2001),The Producers (2005),6.3,51%,True
The Prom (2016),The Prom (2020),5.9,54%,True
Rain or Shine (1928),Rain or Shine (1930),5.5,,False
Rainbow (1928),Song of the West (1930),5.9,,False
Reefer Madness (1998),Reefer Madness: The Movie Musical (2005),7.1,75%,False
Rent (1996),Rent (2005),6.8,46%,False
Roberta (1933),Roberta (1935),7.0,86%,False
Roberta (1933),Lovely to Look At (1952),6.2,,False
Rio Rita (1927),Rio Rita (1929),6.0,,False
Rio Rita (1927),Rio Rita (1942),6.0,,False
Rock of Ages (2005),Rock of Ages (2012),5.9,43%,True
The Rocky Horror Show (1973),The Rocky Horror Picture Show (1975),7.4,81%,False
The Rocky Horror Show (1973),The Rocky Horror Picture Show: Let's Do the Time Warp Again (2016),4.2,29%,False
Rosalie (1928),Rosalie (1937),6.0,,False
Rose-Marie (1924),Rose-Marie (1928),3.4,,False
Rose-Marie (1924),Rose Marie (1936),6.7,100%,False
Rose-Marie (1924),Rose Marie (1954),5.8,,False
Sally (1920),Sally (1925),7.2,,False
Sally (1920),Sally (1929),6.1,,False
See My Lawyer (1939),See My Lawyer (1945),6.7,,False
Shinbone Alley (1957),Shinbone Alley (1970),5.5,,False
Show Boat (1927),Show Boat (1929),6.1,,False
Show Boat (1927),Show Boat (1936),7.4,100%,False
Show Boat (1927),Show Boat (1951),6.8,83%,False
Something for the Boys (1943),Something for the Boys (1944),5.9,,False
The Sound of Music (1959),The Sound of Music (1965),8.1,83%,True
South Pacific (1949),South Pacific (1958),6.8,75%,True
South Pacific (1949),South Pacific (2001),5.8,,True
Sporting Love (1934),Sporting Love (1936),5.3,,False
Spring Is Here (1929),Spring Is Here (1930),5.6,,False
Stop the World – I Want to Get Off (1961),Stop the World – I Want to Get Off (1966),5.2,,False
Strike! (2005),Stand! (2019),6.1,67%,False
Sunny (1925),Sunny (1930),5.3,,False
Sunny (1925),Sunny (1941),5.4,,False
Sunshine on Leith (1979),Sunshine on Leith (2013),6.6,90%,False
Sweeney Todd: The Demon Barber of Fleet Street (1979),Sweeney Todd: The Demon Barber of Fleet Street (2007),7.3,86%,True
Sweet Adeline (1929),Sweet Adeline (1934),5.5,,False
Sweet Charity (1966),Sweet Charity (1969),6.9,80%,True
Sybil (1916),The Duchess of Buffalo (1926),7.1,,False
Take a Chance (1932),Take a Chance (1933),6.4,,False
This Is The Army (1942),This Is The Army (1943),5.8,,False
The Threepenny Opera (1928),The Threepenny Opera (1931),7.2,80%,False
The Threepenny Opera (1928),The Threepenny Opera (1963),,,False
The Threepenny Opera (1928),Mack the Knife (1989),5.6,20%,False
"Tick, Tick... BOOM! (1990)","Tick, Tick... BOOM! (2021)",7.5,88%,False
"The Time, the Place and the Girl (1907)","The Time, the Place and the Girl (1930)",,,False
Too Many Girls (1939),Too Many Girls (1940),5.9,,False
Top Banana (1951),Top Banana (1954),5.5,,False
Top Speed (1929),Top Speed (1930),5.8,,False
Under Your Hat (1939),Under Your Hat (1940),5.5,,False
The Unsinkable Molly Brown (1960),The Unsinkable Molly Brown (1964),6.6,88%,False
Up in Central Park (1945),Up in Central Park (1948),6.0,,False
Very Warm for May (1939),Broadway Rhythm (1944),5.9,,False
Waitress (2015),Waitress: The Musical (2023),7.8,100%,True
West Side Story (1957),West Side Story (1961),7.6,92%,True
West Side Story (1957),West Side Story (2021),7.1,91%,True
Where's Charley? (1948),Where's Charley? (1952),6.9,,False
Whoopee! (1928),Whoopee! (1930),6.4,100%,False
Wicked (2003),Wicked (2024),7.4,88%,True
Wicked (2003),Wicked: For Good (2025),6.7,66%,True
The Wiz (1974),The Wiz (1978),5.7,38%,True
Die Wunderbar (1930),Wonder Bar (1934),6.5,,False
